"","intrinsic_file_id","recorder_name","layer_name"
"1","19129051.abf","Homeira","L2.3"
"2","2016_02_25_0234.abf","Homeira","L2.3"
"3","2019_11_04_0001.abf","Homeira","L3c"
"4","2019_11_04_0083.abf","Homeira","L3c"
"5","2019_11_26_0037.abf","Homeira","L3c"
"6","2019_11_28_0010.abf","Homeira","L3c"
"7","2019_11_28_0032.abf","Homeira","L3c"
"8","2020_01_06_0101.abf","Homeira","L3c"
"9","2020_01_06_0108.abf","Homeira","L3c"
"10","2020_03_02_0019.abf","Homeira","L3c"
"11","19129046.abf","Homeira","L3c"
"12","19129064.abf","Homeira","L3c"
"13","19129072.abf","Homeira","L3c"
"14","2019_11_04_0113.abf","Homeira","L5"
"15","2019_11_26_0006.abf","Homeira","L5"
"16","2019_11_26_0054.abf","Homeira","L5"
"17","2019_11_26_0074.abf","Homeira","L5"
"18","2020_01_27_0001.abf","Homeira","L5"
"19","2020_01_27_0045.abf","Homeira","L5"
"20","2020_01_28_0016.abf","Homeira","L5"
"21","19129000.abf","Homeira","L5"
"22","19129014.abf","Homeira","L5"
"23","19228000.abf","Homeira","L5"
"24","19228029.abf","Homeira","L5"
"25","19228044.abf","Homeira","L5"
"26","19228058.abf","Homeira","L5"
"27","19228068.abf","Homeira","L5"
"28","19328000.abf","Homeira","L5"
"29","2020_01_28_0006.abf","Homeira","L5"
"30","2020_01_27_0014.abf","Homeira","L5"
"31","20140127_600_1_0017.abf","Homeira","L5"
"32","14306300.abf","Lihua","L2.3"
"33","14306313.abf","Lihua","L2.3"
"34","14306331.abf","Lihua","L2.3"
"35","14317333.abf","Lihua","L2.3"
"36","14d02169.abf","Lihua","L2.3"
"37","14d16109.abf","Lihua","L2.3"
"38","15127000.abf","Lihua","L2.3"
"39","14512300.abf","Lihua","L5"
"40","14515399.abf","Lihua","L5"
"41","14520301.abf","Lihua","L5"
"42","14520333.abf","Lihua","L5"
"43","14918305.abf","Lihua","L5"
"44","14918371.abf","Lihua","L5"
"45","14n03301.abf","Lihua","L5"
"46","14n03358.abf","Lihua","L5"
"47","14n03359.abf","Lihua","L5"
"48","14n04300.abf","Lihua","L5"
"49","14n10301.abf","Lihua","L5"
"50","14n10377.abf","Lihua","L5"
"51","15224025.abf","Lihua","L5"
"52","15224053.abf","Lihua","L5"
"53","15302000.abf","Lihua","L5"
"54","15302025.abf","Lihua","L5"
"55","15330028.abf","Lihua","L5"
"56","15420048.abf","Lihua","L5"
"57","15420096.abf","Lihua","L5"
