"","cell_id","clampfit_gain","resp_offset","resp_channel_name","command_channel_name","expt_date","layer_name","cell_type","recorder_name","subject_id","rmp"
"47","14624371.abf","2X",0,"I_MT est2","No command signal",2014-06-24,"L5","Pyr","Lihua","X2014.06.24",-77.5756853277017
"48","14626300.abf","2X",0,"I_MT est2","No command signal",2014-06-26,"L5","Pyr","Lihua","X2014.06.26",-65.4754653306782
"49","14715300.abf","2X",0,"I_MT est2","No command signal",2014-07-15,"L5","Pyr","Lihua","X2014.07.15",-73.3032242947047
"50","14715334.abf","2X",0,"I_MT est2","No command signal",2014-07-15,"L5","Pyr","Lihua","X2014.07.15",-75.1800553913427
"51","14911303.abf","2X",0,"I_MT est2","No command signal",2014-09-11,"L5","Pyr","Lihua","X2014.09.11",-68.3898941067582
"52","14918300.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-64.3615737042183
"53","14918302.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-69.580079680236
"54","14918344.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-74.1424577119006
"55","14918371.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-65
"56","14918305.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",NA
"57","14n03328.abf","2X",0,"I_MT est2","No command signal",2014-11-03,"L5","Pyr","Lihua","X2014.11.03",-75.6378190734495
"58","14n03301.abf","2X",0,"I_MT est2","No command signal",2014-11-03,"L5","Pyr","Lihua","X2014.11.03",NA
"59","14n03358.abf","2X",0,"I_MT est1","No command signal",2014-11-03,"L5","Pyr","Lihua","X2014.11.03",-75
"60","14n04322.abf","2X",0,"I_MT est2","No command signal",2014-11-04,"L5","Int","Lihua","X2014.11.04",-70.4345718868354
"61","14n04362.abf","2X",0,"I_MT est2","No command signal",2014-11-04,"L5","Pyr","Lihua","X2014.11.04",-78.292848429669
"62","14n10459.abf","2X",0,"I_MT est2","No command signal",2014-11-10,"L5","Pyr","Lihua","X2014.11.10",-74.127198922497
"63","14n10301.abf","2X",0,"I_MT est2","No command signal",2014-11-10,"L5","Pyr","Lihua","X2014.11.10",-62
"64","14d02000.abf","2X",0,"I_MT est2","No Command signal",2014-12-02,"L2.3","Pyr","Lihua","X2014.12.02",-69.0002456829007
"65","14d02055.abf","2X",0,"I_MT est2","No Command signal",2014-12-02,"L2.3","Pyr","Lihua","X2014.12.02",-74.1119401330934
"66","14d02065.abf","2X",0,"I_MT est2","No Command signal",2014-12-02,"L2.3","Int","Lihua","X2014.12.02",-74.0966813436899
"67","14d02124.abf","2X",0,"I_MT est2","No Command signal",2014-12-02,"L2.3","Pyr","Lihua","X2014.12.02",-75.1953141807462
"68","14d16000.abf","2X",0,"I_MT est2","No Command signal",2014-12-16,"L2.3","Pyr","Lihua","X2014.12.16",-72.7233902973694
"69","14d16016.abf","2X",0,"I_MT est2","No Command signal",2014-12-16,"L2.3","Int","Lihua","X2014.12.16",-71.4111344086632
"70","14d16022.abf","2X",0,"I_MT est2","No Command signal",2014-12-16,"L2.3","Pyr","Lihua","X2014.12.16",-66.9250503240164
"71","14d16056.abf","2X",0,"I_MT est2","No Command signal",2014-12-16,"L2.3","Int","Lihua","X2014.12.16",-75.1647966019391
"72","14d16134.abf","2X",0,"I_MT est2","No Command signal",2014-12-16,"L2.3","Pyr","Lihua","X2014.12.16",-68.0389419504764
"73","14d16109.abf","2X",0,"I_MT est2","No Command signal",2014-12-16,"L2.3","Pyr","Lihua","X2014.12.16",-74.5
"74","14d18005.abf","2X",0,"I_MT est2","No Command signal",2014-12-18,"L2.3","Pyr","Lihua","X2014.12.18",-76.4617937012418
"75","14d18033.abf","2X",0,"I_MT est2","No Command signal",2014-12-18,"L2.3","Pyr","Lihua","X2014.12.18",-75.134279023132
"76","14d18087.abf","2X",0,"I_MT est2","No Command signal",2014-12-18,"L2.3","Pyr","Lihua","X2014.12.18",-76.3244645966097
"77","14d18113.abf","2X",0,"I_MT est2","No Command signal",2014-12-18,"L2.3","Pyr","Lihua","X2014.12.18",-75.6988542310637
"78","15105000.abf","2X",0,"I_MT est2","No Command signal",2015-01-05,"L2.3","Pyr","Lihua","X2015.01.05",-68.0999771080906
"79","15105065.abf","2X",0,"I_MT est2","No Command signal",2015-01-05,"L2.3","Pyr","Lihua","X2015.01.05",-67.3828140061233
"80","15105080.abf","2X",0,"I_MT est2","No Command signal",2015-01-05,"L2.3","Pyr","Lihua","X2015.01.05",-71.9299332483843
"81","15105107.abf","2X",0,"I_MT est2","No Command signal",2015-01-05,"L2.3","Pyr","Lihua","X2015.01.05",-73.8983170814436
"82","15127028.abf","5X",0,"I_MT est2","No Command signal",2015-01-27,"L2.3","Pyr","Lihua","X2015.01.27",-73.2238785898062
"83","15127041.abf","5X",0,"I_MT est2","No Command signal",2015-01-27,"L2.3","Int","Lihua","X2015.01.27",-76.8676774993765
"84","15127061.abf","5X",0,"I_MT est2","No Command signal",2015-01-27,"L2.3","Pyr","Lihua","X2015.01.27",-69.7265640585101
"85","15127092.abf","5X",0,"I_MT est2","No Command signal",2015-01-27,"L2.3","Int","Lihua","X2015.01.27",-78.2959001875497
"86","15127106.abf","5X",0,"I_MT est2","No Command signal",2015-01-27,"L2.3","Pyr","Lihua","X2015.01.27",-69.7998062476472
"87","15127132.abf","5X",0,"I_MT est2","No Command signal",2015-01-27,"L2.3","Pyr","Lihua","X2015.01.27",-71.1669937782063
"88","15127000.abf","5X",0,"I_MT est2","No Command signal",2015-01-27,"L2.3","Pyr","Lihua","X2015.01.27",-73.5
"89","15224000.abf","5X",0,"I_MT est2","No command signal",2015-02-24,"L5","Int","Lihua","X2015.02.24",-74.6826188567866
"90","15224059.abf","5X",0,"I_MT est2","No command signal",2015-02-24,"L5","Pyr","Lihua","X2015.02.24",-74.8596208138679
"91","15224025.abf","5X",0,"I_MT est1","No command signal",2015-02-24,"L5","Pyr","Lihua","X2015.02.24",-80
"92","15312000.abf","5X",0,"I_MT est2","No Command signal",2015-03-12,"L2.3","Int","Lihua","X2015.03.12",-75.0671403497563
"93","15312031.abf","5X",0,"I_MT est2","No Command signal",2015-03-12,"L2.3","Int","Lihua","X2015.03.12",-78.4545915973468
"94","15312053.abf","5X",0,"I_MT est2","No Command signal",2015-03-12,"L2.3","Int","Lihua","X2015.03.12",-72.9553238963036
"95","15312105.abf","5X",0,"I_MT est2","No Command signal",2015-03-12,"L2.3","Pyr","Lihua","X2015.03.12",-79.4006365403675
"96","15312132.abf","5X",0,"I_MT est2","No Command signal",2015-03-12,"L2.3","Pyr","Lihua","X2015.03.12",-64.5202651140153
"97","15330000.abf","5X",0,"I_MT est2","No command signal",2015-03-30,"L5","Pyr","Lihua","X2015.03.30",-77.9052751788186
"98","15330053.abf","5X",0,"I_MT est2","No command signal",2015-03-30,"L5","Pyr","Lihua","X2015.03.30",-67.4926772898289
"99","15330028.abf","5X",0,"I_MT est2","No command signal",2015-03-30,"L5","Pyr","Lihua","X2015.03.30",-74
"100","15407000.abf","5X",0,"I_MT est2","No command signal",2015-04-07,"L5","Int","Lihua","X2015.04.07",-74.4140641632839
"101","15420000.abf","5X",0,"I_MT est2","No command signal",2015-04-20,"L5","Pyr","Lihua","X2015.04.20",-71.9360367641457
"102","15420026.abf","5X",0,"I_MT est2","No command signal",2015-04-20,"L5","Pyr","Lihua","X2015.04.20",-76.6540544477266
"103","15420096.abf","5X",0,"I_MT est2","No command signal",2015-04-20,"L5","Pyr","Lihua","X2015.04.20",-76
"104","15420048.abf","5X",0,"I_MT est2","No command signal",2015-04-20,"L5","Pyr","Lihua","X2015.04.20",-80
"105","15616008.abf","100X",-24.1,"700A2IC","IN7  (mV)",2015-06-16,"L5","Pyr","Homeira","X2015.06.16",-54.1
"106","15616022.abf","100X",-28.4,"700A2IC","IN7  (mV)",2015-06-16,"L5","Pyr","Homeira","X2015.06.16",-58.4
"107","15616035.abf","100X",-21.8,"700A2IC","IN7  (mV)",2015-06-16,"L5","Pyr","Homeira","X2015.06.16",-57.8
"108","15618005.abf","50X",-20,"700A2IC","IN7  (mV)",2015-06-18,"L5","Pyr","Homeira","X2015.06.18",-56
"109","15622000.abf","50X",-30.1,"700A2IC","IN7  (mV)",2015-06-22,"L5","Pyr","Homeira","X2015.06.22",-60.1
"110","15622005.abf","50X",-28.1,"700A2IC","IN7  (mV)",2015-06-22,"L5","Pyr","Homeira","X2015.06.22",-63.1
"111","15622013.abf","50X",-39.4,"700A2IC","IN7  (mV)",2015-06-22,"L5","Pyr","Homeira","X2015.06.22",-59.4
"112","15622015.abf","50X",-38.4,"700A2IC","IN7  (mV)",2015-06-22,"L5","Pyr","Homeira","X2015.06.22",-61.4
"113","15622019.abf","50X",-104.1,"700A2IC","IN7  (mV)",2015-06-22,"L5","Pyr","Homeira","X2015.06.22",-64.1
"114","15622024.abf","50X",-30.3,"700A2IC","IN7  (mV)",2015-06-22,"L5","Pyr","Homeira","X2015.06.22",-60.3
"115","15723013.abf","50X",-6.9,"Iclamp(mV)","Input07(mV)",2015-07-23,"L5","Pyr","Homeira","X2015.07.23",-61.9
"116","15820003.abf","50X",-1.3,"Iclamp(mV)","Input07(mV)",2015-08-20,"L5","Pyr","Homeira","X2015.08.20",-61.3
"117","15o08002.abf","50X",-7.7,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Pyr","Homeira","X2015.10.08",-63.7
"118","15o08007.abf","50X",-8.9,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Pyr","Homeira","X2015.10.08",-58.9
"119","15o08011.abf","50X",-8.1,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Pyr","Homeira","X2015.10.08",-62.1
"120","15o08017.abf","50X",0,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Pyr","Homeira","X2015.10.08",-57.1960422052088
"121","15o08020.abf","50X",-6.2,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Pyr","Homeira","X2015.10.08",-63.2
"122","15o08022.abf","50X",-2.3,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Int","Homeira","X2015.10.08",-62.3
"123","15o08032.abf","50X",-7.5,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Pyr","Homeira","X2015.10.08",-60.5
"124","15o08038.abf","50X",-5.9,"Iclamp(mV)","Input07(mV)",2015-10-08,"L5","Pyr","Homeira","X2015.10.08",-59.9
"125","2015_11_09_0003.abf","20 X",0,"I clamp(pA)","Input07 (mV)",2015-11-09,"L2.3","Pyr","Homeira","X2015.11.09",-62.4
"126","2015_11_09_0017.abf","5 X",-11.9,"I clamp(pA)","Input07 (mV)",2015-11-09,"L2.3","Pyr","Homeira","X2015.11.09",-61.9
"127","2015_11_09_0053.abf","50 X",-7.5,"I clamp(pA)","Input07 (mV)",2015-11-09,"L2.3","Pyr","Homeira","X2015.11.09",-57.5
"128","2015_11_09_0085.abf","50 X",-12.4,"I clamp(pA)","Input07 (mV)",2015-11-09,"L2.3","Pyr","Homeira","X2015.11.09",-63.4
"129","2015_11_09_0106.abf","50 X",-9.4,"I clamp(pA)","Input07 (mV)",2015-11-09,"L2.3","Pyr","Homeira","X2015.11.09",-63.4
"130","2015_11_09_0107.abf","50 X",-8.4,"I clamp(pA)","Input07 (mV)",2015-11-09,"L2.3","Pyr","Homeira","X2015.11.09",-60.4
"131","2015_11_09_0078.abf","50X",-13.3,"Iclamp(mV)","Input07(mV)",2015-11-09,"L5","Int","Homeira","X2015.11.09",-61.3
"132","2016_01_28_0004.abf","50X",-4.7,"Iclamp(mV)","Input07(mV)",2016-01-28,"L5","Pyr","Homeira","X2016.01.28",-69.7
"133","2016_01_28_0012.abf","50X",-7,"Iclamp(mV)","Input07(mV)",2016-01-28,"L5","Pyr","Homeira","X2016.01.28",-62.5
"134","2016_01_28_0019.abf","50X",-5.2,"Iclamp(mV)","Input07(mV)",2016-01-28,"L5","Pyr","Homeira","X2016.01.28",-59.2
"135","2016_02_04_0009.abf","50X",-28,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-68
"136","2016_02_04_0015.abf","50X",-12,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-57.5
"137","2016_02_04_0018.abf","50X",-8.8,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-58.3
"138","2016_02_04_0021.abf","50X",-10.2,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-60.2
"139","2016_02_04_0029.abf","50X",-9.4,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-64.4
"140","2016_02_04_0033.abf","50X",-13.5,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-58.5
"141","2016_02_04_0042.abf","50X",-19.2,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-59.2
"142","2016_02_04_0045.abf","50X",0,"Iclamp(mV)","Input07(mV)",2016-02-04,"L5","Pyr","Homeira","X2016.02.04",-59.2
"143","2016_02_25_0005.abf","50 X",-16,"I clamp(pA)","Input07 (mV)",2016-02-25,"L2.3","Pyr","Homeira","X2016.02.25",-66
"144","2016_02_25_0007.abf","50 X",-20,"I clamp(pA)","Input07 (mV)",2016-02-25,"L2.3","Pyr","Homeira","X2016.02.25",-66
"145","2016_02_25_0073.abf","50 X",-20.3,"I clamp(pA)","Input07 (mV)",2016-02-25,"L2.3","Pyr","Homeira","X2016.02.25",-60.3
"146","2016_02_25_0082.abf","50 X",-16.8,"I clamp(pA)","Input07 (mV)",2016-02-25,"L2.3","Pyr","Homeira","X2016.02.25",-66.8
"147","2016_02_25_0134.abf","50 X",-16.8,"I clamp(pA)","Input07 (mV)",2016-02-25,"L2.3","Pyr","Homeira","X2016.02.25",-60.8
"148","2016_02_25_0255.abf","50 X",-18.1,"I clamp(pA)","Input07 (mV)",2016-02-25,"L2.3","Pyr","Homeira","X2016.02.25",-62.1
"149","2016_02_29_0032.abf","50X",-15.4,"Iclamp(mV)","Input07(mV)",2016-02-29,"L5","Pyr","Homeira","X2016.02.29",-65.4
"150","2016_02_29_0065.abf","50X",-6.8,"Iclamp(mV)","Input07(mV)",2016-02-29,"L5","Int","Homeira","X2016.02.29",-61.8
"151","2016_03_01_0000.abf","50 X",-20.5,"I clamp(pA)","Input07 (mV)",2016-03-01,"L2.3","Pyr","Homeira","X2016.03.01",-65.5
"152","2016_03_01_0047.abf","50 X",-5,"I clamp(pA)","Input07 (mV)",2016-03-01,"L2.3","Pyr","Homeira","X2016.03.01",-61
"153","2016_03_03_0002.abf","50 X",-18.2,"I clamp(pA)","Input07 (mV)",2016-03-03,"L2.3","Pyr","Homeira","X2016.03.03",-66.2
