"","cell_id","recorder_name","layer_name","cell_type","subject_id","acquisition_time","rmp","voltage_drift","has_morphology","tag_comments","has_burst","trial","res_center_freq","res_3dB_freq","res_sharpness","zap_abf_name","cell_ID","file_time","has_spike","stim_type","has_resonance","in_big_dataset"
"1","14304300.abf","Lihua","L2.3","Pyr","X2014.03.04","2014-03-04 16:55:27.065",-63.3850111823904,1.43432758864039,FALSE,"",FALSE,"avg",0,0,0,"14304301.abf","4","2014-03-04 17:07:50.259",0,"zap_sub_rmp",FALSE,TRUE
"2","14306300.abf","Lihua","L2.3","Int","X2014.03.06","2014-03-06 11:44:39.292",-72,1.91357421875,FALSE,"",FALSE,"avg",0,0,0,"14306307.abf","2","2014-03-06 11:53:18.801",0,"zap_sub_neg",FALSE,TRUE
"3","14317300.abf","Lihua","L2.3","Pyr","X2014.03.17","2014-03-17 11:58:50.675",-74.8138444456572,0.67138839096971,FALSE,"",FALSE,"avg",0,0,0,"14317302.abf","5","2014-03-17 12:04:56.030",0,"zap_sub_rmp",FALSE,TRUE
"4","14317320.abf","Lihua","L2.3","Pyr","X2014.03.17","2014-03-17 13:26:41.884",-73.989869817865,0.289918645989999,FALSE,"",FALSE,"avg",1.03623623623624,8.28708708708709,1.01559502204423,"14317321.abf","6","2014-03-17 13:29:05.538",0,"zap_sub_rmp",TRUE,TRUE
"5","14317333.abf","Lihua","L2.3","Pyr","X2014.03.17","2014-03-17 15:25:32.402",NA,0.579833984375,FALSE,"",FALSE,"avg",3.38678678678679,12.7690690690691,1.09455117439222,"14317335.abf","21","2014-03-17 15:29:35.305",0,"zap_sub_rmp",TRUE,TRUE
"6","14317348.abf","Lihua","L2.3","Pyr","X2014.03.17","2014-03-17 18:05:31.216",-73.364259452319,1.0223405070065,FALSE,"",FALSE,"avg",0,0,0,"14317349.abf","3","2014-03-17 18:06:21.919",0,"zap_sub_neg",FALSE,TRUE
"7","14424335.abf","Lihua","L5","Pyr","X2014.04.22","2014-04-24 16:49:04.795",-72.2198502470519,1.61423940880923e-06,FALSE,"",FALSE,"avg",1.07607607607608,7.19149149149149,1.04303988367035,"14424346.abf","1","2014-04-24 17:02:38.972",0,"zap_sub_neg",TRUE,TRUE
"8","14512300.abf","Lihua","L5",NA,NA,NA,NA,NA,NA,NA,NA,"avg",1.13583583583584,6.25525525525525,1.27529807602943,"14512308.abf","1","2014-05-12 17:29:43.359",0,"zap_sub_rmp",TRUE,FALSE
"9","14515349.abf","Lihua","L5",NA,NA,NA,NA,NA,NA,NA,NA,"avg",0,0,0,"14515362.abf","2","2014-05-15 14:34:29.499",0,"zap_sub_rmp",FALSE,FALSE
"10","14515374.abf","Lihua","L5","Pyr","X2014.05.15","2014-05-15 14:51:20.718",-66.7236343038894,0.378419460139398,FALSE,"",FALSE,"avg",0,0,0,"14515380.abf","3","2014-05-15 15:18:07.108",0,"zap_sub_rmp",FALSE,TRUE
"11","14515399.abf","Lihua","L5","Pyr","X2014.05.15","2014-05-15 16:24:09.155",-76.5,0.739990234375,FALSE,"",TRUE,"avg",0,0,0,"14515402.abf","4","2014-05-15 16:29:14.296",0,"zap_sub_rmp",FALSE,TRUE
"12","14605300.abf","Lihua","L5","Int","X2014.06.05","2014-06-05 15:29:57.490",-71.7773453543487,3.57055824497371,FALSE,"",FALSE,"avg",3.24734734734735,15.7172172172172,1.19533191937781,"14605301.abf","5","2014-06-05 15:38:45.952",0,"zap_sub_rmp",TRUE,TRUE
"13","14605338.abf","Lihua","L5","Int","X2014.06.05","2014-06-05 17:20:23.981",NA,0,FALSE,"",FALSE,"avg",0,0,0,"14605377.abf","7","2014-06-05 18:16:35.219",0,"zap_sub_rmp",FALSE,TRUE
"14","14617300.abf","Lihua","L5","Int","X2014.06.17","2014-06-17 12:12:01.211",-66.4215102736989,3.1433120315114,FALSE,"",FALSE,"avg",4.42262262262262,18.5259259259259,1.3561391888276,"14617302.abf","2","2014-06-17 12:18:27.565",0,"zap_sub_neg",TRUE,TRUE
"15","14617312.abf","Lihua","L5","Int","X2014.06.17","2014-06-17 13:01:38.079",-71.9604508271914,2.13623207719141,FALSE,"",FALSE,"avg",4.82102102102102,20,1.08085033734383,"14617313.abf","8","2014-06-17 13:04:33.452",0,"zap_sub_rmp",TRUE,TRUE
"16","14624359.abf","Lihua","L5","Pyr","X2014.06.24","2014-06-24 16:30:09.939",-72.98278971723,0.762941084417506,FALSE,"",FALSE,"avg",0.956556556556556,7.80900900900901,1.04032761067192,"14624360.abf","9","2014-06-24 16:41:16.993",0,"zap_sub_rmp",FALSE,TRUE
"17","14626300.abf","Lihua","L5","Pyr","X2014.06.26","2014-06-26 12:56:55.962",-65.4754653306782,1.7089858384907,FALSE,"",TRUE,"avg",0.558158158158158,4.48238238238238,1.03621944768061,"14626301.abf","21","2014-06-26 13:00:16.803",0,"zap_sub_rmp",FALSE,TRUE
"18","14715334.abf","Lihua","L5","Pyr","X2014.07.15","2014-07-15 19:03:13.250",-75.1800553913427,1.68040520520663e-06,FALSE,"",TRUE,"avg",0,0,0,"14715335.abf","10","2014-07-15 19:05:01.420",0,"zap_sub_rmp",FALSE,TRUE
"19","14911303.abf","Lihua","L5","Pyr","X2014.09.11","2014-09-11 17:24:48.350",-68.3898941067582,0.854493716133206,FALSE,"",FALSE,"avg",0.956556556556556,5.33893893893894,1.07461199788691,"14911304.abf","11","2014-09-11 17:30:00.312",0,"zap_sub_rmp",FALSE,TRUE
